Date,Price,Share,Fund Flow,Bench,Return,asset,withdraw
2017-04-18,233.87,985.282,-866.1009095500049,1.24983164983165,10.137113958656185,111371.13958656185,-0.1304515670666445
2017-04-17,234.57,985.682,925.245217921416,1.2565656565656567,10.170448630786256,111704.48630786255,-0.13808796461041706
2017-04-13,232.51,990.082,-1798.38003909291,1.2367484367484367,10.07234945280348,110723.49452803479,-0.13245334118006058
2017-04-12,234.03,990.982,-1092.1472014000174,1.2513708513708512,10.144733312285915,111447.33312285916,-0.1286351424081743
2017-04-11,235.06,990.932,216.0401278999634,1.2612794612794613,10.193782901277304,111937.82901277304,-0.12759718546047705
2017-04-10,235.34,988.482,-1391.6416080000054,1.2639730639730637,10.207116770129332,112071.16770129332,-0.1281161639343258
2017-04-07,235.2,994.632,-275.2412050286075,1.2626262626262625,10.200449835703317,112004.49835703317,-0.12722648655058533
2017-04-06,235.44,994.432,1923.409134299989,1.264935064935065,10.211878866147911,112118.78866147912,-0.12967309935587157
2017-04-05,234.78,988.682,-2824.633226200007,1.2585858585858585,10.180449032425276,111804.49032425277,-0.12707820698662853
2017-04-04,235.48,997.382,-357.96437859290745,1.265319865319865,10.213783704555345,112137.83704555345,-0.12763425535146633
2017-04-03,235.33,999.182,-4986.239481314289,1.2638768638768638,10.206640560527473,112066.40560527473,-0.1261143898209096
2017-03-31,235.74,1018.232,-1662.3653451000282,1.267821067821068,10.226165154203658,112261.65154203658,-0.12407554581650437
2017-03-30,236.29,1022.532,610.1949109713896,1.2731120731120729,10.252356682305855,112523.56682305854,-0.12685578764069338
2017-03-29,235.54,1022.832,-884.9462700857257,1.2658970658970656,10.216640962166494,112166.40962166493,-0.1276713252424555
2017-03-28,235.32,1027.182,3284.7446143428097,1.263780663780664,10.206164350925615,112061.64350925614,-0.1339732067106172
2017-03-27,233.62,1020.232,605.7071715999627,1.2474266474266476,10.125208718609732,111252.08718609733,-0.13308352932687673
2017-03-24,233.86,1016.232,-35.290385164291365,1.24973544973545,10.136637749054328,111366.37749054328,-0.13245334118006058
2017-03-23,234.03,1015.282,-1100.4525274857297,1.2513708513708512,10.144733312285915,111447.33312285916,-0.13337811270056965
2017-03-22,234.28,1018.532,1457.1872363000293,1.2537758537758537,10.132853453299553,111328.53453299553,-0.1354126100456896
2017-03-21,233.73,1014.332,-267.8735496929148,1.248484848484848,10.106717763529556,111067.17763529556,-0.12416738835629959
2017-03-20,236.77,1002.082,199.99256304997834,1.2777296777296776,10.25117684880372,112511.7684880372,-0.12320562597497031
2017-03-17,237.03,999.782,-4147.704725975287,1.28023088023088,10.263531902149534,112635.31902149535,-0.12474236916384995
2017-03-16,237.4469,1015.132,-5154.631146512082,1.284241462241462,10.243790493620763,112437.90493620763,-0.12646033378740795
2017-03-15,237.9148,1034.432,3498.975104266632,1.288742664742665,10.221721066720383,112217.21066720382,-0.11883529855833164
2017-03-14,235.8737,1028.182,-994.8966767512902,1.269107263107263,10.319674281410219,113196.7428141022,-0.12219445169268361
2017-03-13,236.7798,1028.082,1089.4751853536873,1.2778239538239535,10.276521713814137,112765.21713814138,-0.12175098585920918
2017-03-10,236.6603,1023.632,1007.4266865393438,1.2766743626743629,10.282218592935205,112822.18592935205,-0.1186626376776152
2017-03-09,235.8339,1022.582,-75.09821191662923,1.2687243867243865,10.321892328646626,113218.92328646626,-0.11754352788757116
2017-03-08,235.5352,1023.832,1412.6495558140741,1.2658508898508898,10.336268708326509,113362.68708326509,-0.11917883050171085
2017-03-07,235.9733,1015.582,-1170.7460133665882,1.2700654160654161,10.315261179412431,113152.61179412431,-0.12180177203778564
2017-03-06,236.6802,1017.132,987.6685144884686,1.2768658008658011,10.28156618028347,112815.6618028347,-0.12440913857094693
2017-03-03,237.3871,1009.582,-4254.079060457007,1.2836661856661855,10.248071261751956,112480.71261751956,-0.12385775916784902
2017-03-02,237.2378,1027.782,-4797.2516548423155,1.2822299182299182,10.255154427065245,112551.54427065245,-0.12934047238956992
2017-03-01,238.7412,1041.032,11398.402377650229,1.2966926406926407,10.184722046209858,111847.22046209859,-0.1169805949861975
2017-02-28,235.4456,1006.832,2166.602484103729,1.264988936988937,10.34350029292745,113435.0029292745,-0.11935749581787536
2017-02-27,236.0828,994.582,141.19725164966076,1.2711188071188069,10.312965997613777,113129.65997613776,-0.1179789778122976
2017-02-24,235.7144,995.182,2026.9371940187993,1.2675747955747958,10.3306748036845,113306.748036845,-0.11685843068330448
2017-02-23,235.4157,987.482,-137.46887423747103,1.2647012987012984,10.345069647799816,113450.69647799816,-0.11626002069869756
2017-02-22,235.2564,988.382,-124.90376761826337,1.2631688311688312,10.352756980373865,113527.56980373865,-0.11704411041253127
2017-02-21,235.4655,987.682,3050.3266651459853,1.265180375180375,10.342684356999959,113426.84356999959,-0.11175459528282206
2017-02-17,234.0716,980.182,-1731.277584593743,1.2517710437710436,10.410634864183166,114106.34864183166,-0.11035219149608388
2017-02-16,233.7032,988.782,-1437.695809908444,1.2482270322270321,10.428650513301793,114286.50513301793,-0.11110882464169125
2017-02-15,233.9023,993.732,996.480547434534,1.250142376142376,10.418930604248715,114189.30604248715,-0.10644419171616204
2017-02-14,232.6876,994.282,3898.7521326960123,1.2384569504569503,10.4788537097396,114788.537097396,-0.11000017269009821
2017-02-13,231.7616,981.082,1322.9428774437984,1.2295488215488213,10.433172639776185,114331.72639776184,-0.1148176436747661
2017-02-10,230.5071,980.332,2163.020953188563,1.2174805194805196,10.371286136245837,113712.86136245838,-0.11829720561913282
