Date,Bench,Return
11/9/2000,-0.016843675,0.379560857
11/10/2000,-0.040759019,0.413118768
11/13/2000,-0.048218374,0.402129918
11/14/2000,-0.023206349,0.43897672
11/15/2000,-0.02013468,0.434451649
11/16/2000,-0.035493025,0.456935151
11/17/2000,-0.040649351,0.464724033
11/20/2000,-0.054361712,0.443788179
11/21/2000,-0.049535354,0.436419357
11/22/2000,-0.072243386,0.47073758
11/24/2000,-0.053265031,0.500823251
11/27/2000,-0.044927369,0.487605869
11/28/2000,-0.061383357,0.513237454
11/29/2000,-0.063138047,0.510408543
11/30/2000,-0.071256373,0.497320181
12/1/2000,-0.071695046,0.496612953
12/4/2000,-0.063796056,0.509347702
12/5/2000,-0.033079365,0.558869141
12/6/2000,-0.048547379,0.533931615
12/7/2000,-0.061602694,0.51288384
12/8/2000,-0.059408369,0.516421529
12/11/2000,-0.026716691,0.569127043
12/12/2000,-0.030886003,0.562405279
12/13/2000,-0.044159692,0.541005441
12/14/2000,-0.0563367,0.521373673
12/15/2000,-0.07764887,0.4870142
12/18/2000,-0.065323713,0.506884813
12/19/2000,-0.08436075,0.476193308
12/20/2000,-0.110880231,0.43343861
12/21/2000,-0.104718615,0.443372366
12/22/2000,-0.077868206,0.486660586
12/26/2000,-0.067965368,0.502625938
12/27/2000,-0.061142857,0.513625188
12/28/2000,-0.058281866,0.5090127
12/29/2000,-0.076107744,0.537576954
1/2/2001,-0.092834055,0.565413522
1/3/2001,-0.049258297,0.490218812
1/4/2001,-0.059492063,0.5062595
1/5/2001,-0.090193362,0.457090194
1/8/2001,-0.083150553,0.468369522
1/9/2001,-0.08557191,0.464491627
1/10/2001,-0.069505532,0.490222547
1/11/2001,-0.068625301,0.491632271
1/12/2001,-0.070385762,0.488812824
1/16/2001,-0.064443482,0.479296035
1/17/2001,-0.060151996,0.472510364
1/18/2001,-0.050799423,0.487163543
1/19/2001,-0.056190476,0.495609996
1/22/2001,-0.04991823,0.485670666
1/23/2001,-0.042435786,0.497371182
1/24/2001,-0.039574796,0.501844997
1/25/2001,-0.041996152,0.505631343
1/26/2001,-0.043095719,0.50735946
1/29/2001,-0.03799038,0.499317296
1/30/2001,-0.029539202,0.486145912
1/31/2001,-0.035032227,0.477733993
2/1/2001,-0.028623377,0.487548389
2/2/2001,-0.050666667,0.52130508
2/5/2001,-0.043695046,0.51013307
2/6/2001,-0.046511785,0.505685063
2/7/2001,-0.051442039,0.497899533
2/8/2001,-0.062498316,0.515358869
2/9/2001,-0.071513228,0.52993039
2/12/2001,-0.060878307,0.547454267
2/13/2001,-0.068555075,0.560103796
2/14/2001,-0.069963444,0.557744878
2/15/2001,-0.060948533,0.572844211
2/16/2001,-0.08165368,0.538164567
2/20/2001,-0.095809524,0.514454538
2/21/2001,-0.115316979,0.547128134
